SCIENTIFIC NAME	PHISICAL SPECIMEN ID	ORGANIZATION	SPECIMEN TYPE	MODIFIED	LICENSE	LOCATION QUALITATIVE [QUANTITATIVE]	GEOLOGICAL AGE	COLLECTING NUMBER	COLLECTING AGENT	DATE COLLECTED	TYPE STATUS (Optional)	MEDIA
Gonyodiscus rotundatus (O. F. Müller, 1774)	75A76004-0DC8-4C95-964F-929C435E802D	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Junsbergalm, Zillertal [Lat: 47.14466033 x Long: 11.67344838]		1406573	Nisters H.	01.01.1985	PRESERVED_SPECIMEN	
Gonyodiscus rotundatus (O. F. Müller, 1774)	D5D3AD2F-DDFA-4CA7-AD0A-333C893D176E	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Oberösterreich Hinterstoder [Lat: 47.69930335 x Long: 14.15422618]		1406594	Hopfinger O.	01.01.1900	PRESERVED_SPECIMEN	
Gonyodiscus rotundatus (O. F. Müller, 1774)	6B742217-A6FE-43C2-B1E7-F2320F25054E	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Niederösterreich Klosterneuburg, Weidling [Lat: 48.29083159 x Long: 16.30880177]		1406602	Hopfinger O.	01.01.1900	PRESERVED_SPECIMEN	
Vitrea contracta (Westerlund, 1871)	D26C93AC-5503-4EFA-A7C7-46A039272C68	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Stans [Lat: 47.36950991 x Long: 11.71789259]		1406593	Mahler F.	01.01.1951	PRESERVED_SPECIMEN	
Vitrea contracta (Westerlund, 1871)	B8298A3F-8E10-4CDD-B7B1-9EC78F27BF24	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Bürs, Bürser Berg, Ausserberg [Lat: 47.14156257 x Long: 9.77773279]		1407479	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
Vitrea crystallina (O.F. Müller, 1774)	0520F4E9-2325-4EBE-9E9A-9FEE6E5319A2	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Götzis, Kapf (Berg) [Lat: 47.3424332 x Long: 9.6853028]		1406575	Nisters H.	01.01.1982	PRESERVED_SPECIMEN	
Vitrea diaphana (Studer, 1820)	3264131E-B80F-40A4-9E4E-93CFC0A69D7B	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Scharnitz, Porta Claudia [Lat: 47.38859137 x Long: 11.26385361]		1406596	Nisters H.	01.01.1963	PRESERVED_SPECIMEN	
Vitrea diaphana (Studer, 1820)	DAFC6F78-E989-444E-AD48-65057297E564	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Achensee E, Achenseehof S [Lat: 47.48362685 x Long: 11.71405971]		1407478	Nisters H.	01.01.1963	PRESERVED_SPECIMEN	
Euconulus fulvus (O.F. Müller, 1774)	076F1B36-145A-41D2-8BC4-999FE99C9541	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Mühltal, (Gem. Wildschonau) [Lat: 47.42828323 x Long: 12.02769309]		1407477	Nisters H.	01.01.1963	PRESERVED_SPECIMEN	
Euconulus fulvus (O.F. Müller, 1774)	DAC23F80-31C6-4F3D-9645-1CE990D5BAC6	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Hohenems, Schloss Glopper [Lat: 47.3683391 x Long: 9.7057667]		1406551	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
Euconulus fulvus (O.F. Müller, 1774)	FB2A3D98-F1E2-44E1-AE53-9F56C7C9B327	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Rappenloch-Schlucht [Lat: 47.3458303 x Long: 9.686102]		1406564	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
Euconulus fulvus (O.F. Müller, 1774)	C08D8EA6-0D69-450E-82F5-90849B86DD4B	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Bludesch, Ruine Jordan [Lat: 47.20268891 x Long: 9.75123793]		1406576	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
Euconulus fulvus (O.F. Müller, 1774)	3F10E4BA-EF9B-43B7-80F1-D218BB78DC6D	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Bürs, Richtung Schass [Lat: 47.14221085 x Long: 9.8024048]		1406589	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
Zonitoides nitidus (O.F. Müller, 1774)	3744E179-E595-4BBD-8E58-F3B130960F37	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Gaißau [Lat: 47.46587812 x Long: 9.59844321]		1406561	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
Zonitoides nitidus (O.F. Müller, 1774)	C716802F-838C-4796-8570-CDFD25B47F5C	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Fussach, NSG [Lat: 47.50462027 x Long: 9.64206934]		1406562	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
Zonitoides nitidus (O.F. Müller, 1774)	A559EAAB-26E8-44A3-8980-7011CCCBA425	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Obermieming, Mieminger Plateau [Lat: 47.3047857 x Long: 10.96740246]		1407460	Nisters H.	01.01.1963	PRESERVED_SPECIMEN	
Nesovitrea petronella (L. Pfeiffer, 1853)	624818B3-A5CF-4D34-B759-4A9013ECB169	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Zedlach b. Matrei [Lat: 47.0016803 x Long: 12.49406219]		1406469	undefined	01.01.1951	PRESERVED_SPECIMEN	
Nesovitrea petronella (L. Pfeiffer, 1853)	870C7BF4-6303-4249-9A01-B64CFFFF80E1	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Kaisergebirge, Gruttenhütte - Baumgartenalm [Lat: 47.55349021 x Long: 12.31104702]		1406526	Forcart L.	01.01.1900	PRESERVED_SPECIMEN	
Aegopinella nitens (Michaud, 1831)	AFA9E61D-A9A2-4E96-913B-852D2BF22323	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Kärnten Sattnitz Gebirgszug, S Ebenthal, Wasserfall-Umgebung [Lat: 46.59564184 x Long: 14.35605168]		1406555	Fischer W.	01.01.1900	PRESERVED_SPECIMEN	
Aegopinella nitens (Michaud, 1831)	89D032CA-E0C9-479A-8E17-7EAC36A68215	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Bürs, Bürser Berg, Ausserberg [Lat: 47.14156257 x Long: 9.77773279]		1406471	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
