SCIENTIFIC NAME	PHISICAL SPECIMEN ID	ORGANIZATION	SPECIMENT TYPE	MODIFIED	LICENSE	LOCATION QUALITATIVE [QUANTITATIVE]	GEOLOGICAL AGE	COLLECTING NUMBER	COLLECTING AGENT	DATE COLLECTED	TYPE STATUS (Optional)	MEDIA
Cochlostoma septemspirale Klemm	47807	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Bad Ischl, Kalvarienberg Nord		47807	Klemm	18.3.1962		
Cochlostoma septemspirale Klemm	52180	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Hallstatt Nordende		52180	Klemm	16.9.1965		
Cochlostoma septemspirale Klemm	49449	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Hallstatt, Schleierfall		49449	Klemm	10.9.1963		
Cochlostoma septemspirale Klemm	49330	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Sarstein Westwand		49330	Klemm	2.8.1963		
Cochlostoma septemspirale Klemm	26240	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Pürglstein bei Strobl am Abersee, Seefelsen		26240	Klemm	28.10.1947		
Cochlostoma septemspirale Klemm	47965	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Ruine Wildenstein bei Bad Ischl		47965	Klemm	6.7.1962		
Cochlostoma septemspirale Klemm	27617	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Obertraun		27617	Klemm	4.8.1948		
Cochlostoma septemspirale Klemm	64678	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Soleweg Bad Ischl - Lauffen		64678	Klemm	6.9.1972		
Cochlostoma septemspirale Klemm	26211	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Pürglstein bei Strobl am Abersee, Waldfelsen		26211	Klemm	28.10.1947		
Cochlostoma septemspirale Klemm	64915	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Steyr		64915				
Cochlostoma septemspirale Klemm	47796	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, oberhalb Salzburgerstraße bei Jainzenbrücke		47796	Klemm	17.8.1962		
Cochlostoma septemspirale Klemm	47378	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Jainzenberg		47378	Klemm	3.7.1962		
Cochlostoma septemspirale Klemm	47709	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Felshang nördl. Jainzen		47709	Klemm	9.8.1962		
Cochlostoma septemspirale Klemm	27634	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl		27634	Klemm	4.8.1948		
Cochlostoma septemspirale Klemm	65529	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Hallstatt, Waldbachstrub		65529	Klemm	3.8.1973		
